#vert	id_smtlp	id_smtmflp	id_pf2lp	id_smtIP
10/12	35023.027972	35166.28599	35170.954072	41924.8
10/13 	34780.261818	35253.164208	35273.698892	41997.34
10/14	32723.778014	33296.188508	33320.227638	39531.12
10/15	31489.47324	32514.086094	32558.930532	39976.98
10/16	31856.045524	32985.09277	33036.54828	41815.16
10/17	29349.156504	30842.645414	30905.950884	38736.36
10/18	27875.574198	29176.78874	29249.110448	36740.04
10/19	26780.421578	28358.957952	28443.597762	36310.12
10/20	27343.278072	29117.580364	29254.036546	37181.18


