#vert	LP(SMT-X1)	LP(SMT-F1)	LP(SMT-X1-VI)	LP(SMT-F1-VI)	OPT	
8/11	29815.73106	29861.856058	30878.401762	30898.44186	33678.2
8/12 	28952.171176	29330.958514	30515.523062	30688.36426	33864.78
8/13	26306.660652	26798.616744	27698.428784	28058.771982	31357.28							
8/14	25662.318018	26594.53084	27324.198536	28019.442568	32774.46
8/15	23430.827822	24361.625816	24841.318154	25639.043686	29804.4
8/16	22583.81073	23528.182998	24099.15197	24836.637522	28374.56
8/17	21074.4558	22313.6385	22630.204825	23623.072	28034.39
8/18	23722.425086	25281.423102	25391.354852	26948.1355	33071.96


